;name;overall;УИК №882;УИК №883;УИК №884;УИК №885;УИК №886;УИК №887;УИК №888;УИК №889;УИК №890;УИК №891;УИК №892;УИК №893
14;Белова Мария Михайловна;408.0;24;28;42;43;21;18;33;34;71;53;31;10
15;Винокурова Надежда Ивановна;279.0;23;18;24;36;21;12;26;26;35;27;21;10
16;Глазкова Надежда Александровна;1147.0;138;71;98;99;80;54;98;106;75;161;106;61
17;Гришин Алексей Анатольевич;298.0;35;19;31;51;20;10;15;21;26;44;18;8
18;Зуева Наталья Андреевна;1128.0;109;64;105;93;84;63;104;107;77;148;109;65
19;Иващенко Евгений Николаевич;257.0;23;13;31;24;21;7;24;32;24;28;18;12
20;Казаков Александр Владимирович;161.0;18;7;18;15;14;7;9;15;26;12;12;8
21;Каргашин Юрий Дмитриевич;523.0;50;26;51;37;34;16;55;31;63;73;61;26
22;Кононова Ирина Владимировна;250.0;15;11;41;22;16;5;24;21;24;29;22;20
23;Кругляков Константин Михайлович;1543.0;166;130;178;169;144;63;121;133;102;142;118;77
24;Куликов Алексей Юрьевич;609.0;54;53;54;58;29;26;71;59;77;64;43;21
25;Куликов Дмитрий Сергеевич;182.0;12;13;20;18;12;8;21;27;26;14;8;3
26;Маслова Дарья Владимировна;1238.0;117;79;107;107;108;68;109;111;83;175;117;57
27;Миронов Иван Олегович;427.0;38;23;42;35;26;13;42;35;49;61;38;25
28;Никитин Евгений Александрович;129.0;7;13;10;21;12;10;11;9;14;10;6;6
29;Петренко Виктория Александровна;312.0;29;22;29;32;15;8;39;22;33;36;26;21
30;Савидов Андрей Николаевич;1065.0;94;62;101;108;80;54;104;97;69;153;90;53
31;Сазонов Вячеслав Юрьевич;266.0;15;17;31;9;10;25;29;18;35;58;12;7
32;Сидякина Екатерина Николаевна;465.0;26;32;107;79;35;17;32;24;38;51;21;3
33;Тейванов Александр Михайлович;205.0;24;11;13;11;17;11;23;9;16;28;23;19
34;Фролкин Александр Павлович;183.0;16;11;22;15;10;3;21;19;20;22;17;7
35;Ханин Николай Александрович;520.0;37;35;50;42;33;15;58;46;81;71;35;17
36;Ядрикова Ольга Вячеславовна;655.0;45;38;108;97;74;29;51;45;63;61;35;9
