;name;overall;УИК №248;УИК №249;УИК №250;УИК №251;УИК №252;УИК №253;УИК №254;УИК №255;УИК №256
14;Атаулин Вадим Рафаилович;921.0;85;98;149;100;88;99;92;121;89
15;Беляев Алексей Семенович;1048.0;121;128;206;79;86;131;86;113;98
16;Белячкова Наталья Алексеевна;936.0;109;90;34;142;82;116;115;118;130
17;Бурневская Елена Николаевна;318.0;46;30;17;34;46;35;33;42;35
18;Буров Павел Викторович;320.0;36;40;14;42;48;44;22;42;32
19;Бурова Галина Михайловна;1105.0;116;87;172;134;77;107;135;139;138
20;Волобуев Андрей Николаевич;184.0;24;21;7;33;18;33;19;12;17
21;Горбачёв Алексей Игоревич;472.0;37;29;32;30;59;63;34;128;60
22;Грачева Наталья Владимировна;110.0;14;7;9;13;14;18;14;9;12
23;Грилль Филипп Александрович;175.0;40;21;23;14;17;12;15;15;18
24;Дудочкина Татьяна Сергеевна;860.0;84;72;89;140;58;90;104;114;109
25;Ильин Никита Игоревич;890.0;84;91;152;76;75;100;84;124;104
26;Клепцова Людмила Николаевна;260.0;37;23;19;32;29;27;27;35;31
27;Колганова Екатерина Васильевна;237.0;35;16;23;39;27;34;27;20;16
28;Корчагин Олег Васильевич;756.0;52;57;42;63;240;69;55;118;60
29;Косинова Дарья Михайловна;200.0;11;16;16;11;29;14;13;64;26
30;Леонтьева Надежда Владимировна;805.0;86;60;89;109;60;76;100;117;108
31;Малкина Юлия Андреевна;245.0;12;14;11;12;24;29;19;76;48
32;Мальцев Андрей Валерьевич;191.0;37;21;25;17;19;21;18;9;24
33;Маркова Алла Владимировна;86.0;9;7;6;15;7;17;8;6;11
34;Мельников Алексей Владимирович;456.0;41;40;44;52;60;53;36;64;66
35;Мельникова Наталья Николаевна;724.0;75;56;85;89;41;74;99;115;90
36;Подгорный Сергей Александрович;840.0;83;98;141;61;72;85;74;119;107
37;Пономаренко Андрей Игоревич;346.0;14;11;29;17;44;27;22;136;46
38;Профарт Алёна Александровна;102.0;8;8;12;12;9;14;14;9;16
39;Ремизов Александр Николаевич;221.0;10;23;28;16;20;29;28;40;27
40;Сгибнев Андрей Владиславович;211.0;35;20;23;17;11;37;19;21;28
41;Семикова Анна Андреевна;73.0;14;11;6;4;7;10;5;9;7
42;Сидорович Игорь Анатольевич;198.0;20;17;18;14;25;34;17;26;27
43;Ситнин Алексей Всеволодович;233.0;11;16;22;29;24;19;22;52;38
44;Таранищенко Никита Михайлович;78.0;8;7;8;6;7;14;13;7;8
45;Филюкова Алиса Михайловна;702.0;73;80;134;58;51;72;64;93;77
46;Хвалько Денис Тимурович;66.0;10;12;6;10;2;7;4;11;4
47;Хоменко Эдуард Константинович;107.0;18;12;18;11;8;11;5;12;12
48;Шумилова Екатерина Александровна;277.0;29;24;31;34;20;35;54;26;24
