;parameter;overall;УИК №1029;УИК №1039;УИК №1040;УИК №1041;УИК №1042;УИК №1043;УИК №1044;УИК №1045;УИК №1046;УИК №1047;УИК №1048;УИК №1049
1;Число избирателей, внесенных в список;20344.0;1766;2372;2030;2118;1443;1726;1848;1467;1073;1367;2391;743
2;Число бюллетеней, полученных участковой комиссией;15600.0;1300;1800;1600;1600;1100;1300;1400;1100;900;1100;1800;600
3;Число бюллетеней, выданных избирателям в помещении для голосования;3861.0;358;433;391;344;315;330;329;229;226;263;485;158
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;16.0;0;3;2;2;0;1;0;3;0;0;2;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;177.0;11;38;20;17;19;9;18;14;3;8;18;2
6;Число погашенных бюллетеней;11562.0;931;1329;1189;1239;766;961;1053;857;671;829;1297;440
7;Число бюллетеней в переносных ящиках для голосования;177.0;11;38;20;17;19;9;18;14;3;8;18;2
8;Число бюллетеней в стационарных ящиках для голосования;3871.0;357;433;391;346;315;331;329;232;226;263;487;161
9;Число недействительных бюллетеней;71.0;9;3;10;2;5;4;11;3;4;7;9;4
10;Число действительных бюллетеней;3977.0;359;468;401;361;329;336;336;243;225;264;496;159
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
