;name;overall;УИК №658;УИК №659;УИК №660;УИК №663;УИК №665;УИК №666;УИК №667;УИК №669
14;Андреасян Алексей Суренович;120.0;21;15;21;10;12;15;11;15
15;Ашуров Дмитрий Константинович;151.0;17;12;18;14;15;24;26;25
16;Байкиев Тимур Ильмирович;79.0;16;13;8;6;5;10;11;10
17;Белялов Марат Абдулкаюмович;465.0;48;90;68;62;87;37;35;38
18;Бирюков Евгений Евгеньевич;88.0;14;10;19;6;7;12;10;10
19;Ванюнькин Максим Валерьевич;158.0;25;16;22;28;10;27;16;14
20;Величковская Эльвира Александровна;172.0;20;41;25;9;21;27;14;15
21;Епишин Игорь Владимирович;787.0;141;103;112;112;99;90;56;74
22;Зубаха Светлана Анатольевна;282.0;29;29;29;40;29;28;20;78
23;Игнатова Екатерина Анатольевна;1077.0;139;145;208;129;104;108;126;118
24;Исаркина Анися Сияровна;873.0;125;108;158;96;81;93;112;100
25;Камбалов Лев Сергеевич;131.0;21;7;14;23;14;21;12;19
26;Лавренюк Андрей Николаевич;733.0;109;82;135;80;61;85;93;88
27;Лаврухина Марина Михайловна;404.0;42;97;59;53;59;28;30;36
28;Ларин Сергей Васильевич;247.0;24;28;49;31;24;37;22;32
29;Мартемьянов Алексей Борисович;526.0;110;50;86;68;54;73;38;47
30;Немыткин Михаил Иванович;166.0;15;20;25;21;14;29;16;26
31;Николаев Сергей Николаевич;135.0;16;17;25;23;13;13;16;12
32;Орлов Василий Юрьевич;271.0;19;38;35;41;32;44;28;34
33;Перепелица Елена Валерьевна;640.0;131;69;108;74;52;93;45;68
34;Степанов Алексей Николаевич;218.0;28;22;31;35;19;29;24;30
35;Тигиев Хетаг Валерьевич;90.0;15;19;10;16;10;13;3;4
36;Ушенин Василий Валерьевич;365.0;44;42;63;51;39;56;34;36
37;Филиппов Павел Игоревич;708.0;133;109;119;80;77;89;43;58
38;Филоненко Яна Леонидовна;79.0;11;7;12;6;6;13;7;17
39;Хирин Сергей Викторович;112.0;23;11;17;10;11;7;15;18
40;Четайкин Виктор Викторович;83.0;14;12;7;9;12;10;7;12
41;Чупраков Руслан Азамович;59.0;4;13;4;7;3;8;7;13
42;Шилова Людмила Юрьевна;1083.0;139;140;178;124;114;133;133;122
43;Шук Ольга Алексеевна;780.0;153;112;135;74;99;87;50;70
44;Эльдаров Камиль Сраждинович;862.0;117;107;144;85;75;102;114;118
