;name;overall;УИК №447;УИК №448;УИК №449;УИК №450;УИК №451;УИК №452;УИК №453
14;Бажанова Тамара Станиславовна;695.0;95;117;108;83;76;108;108
15;Бондаренко Игорь Владимирович;286.0;19;37;50;47;42;43;48
16;Воронцов Евгений Владимирович;202.0;19;27;44;29;26;28;29
17;Глазунова Лариса Владимировна;548.0;54;60;89;97;79;83;86
18;Годовикова Ирина Ивановна;875.0;123;170;164;118;108;92;100
19;Громова Венера Николаевна;767.0;96;146;147;102;103;73;100
20;Ибишов Айдын Балаш оглы;177.0;14;32;25;18;22;38;28
21;Котов Валерий Григорьевич;256.0;28;38;41;27;44;46;32
22;Кузнецова Марина Валентиновна;776.0;107;117;127;137;114;91;83
23;Никитин Владимир Васильевич;252.0;27;39;44;30;45;37;30
24;Пономарева Олеся Андреевна;221.0;30;23;42;26;38;34;28
25;Руковицын Евгений Анатольевич;278.0;31;56;55;36;37;29;34
26;Сарвилин Дмитрий Валентинович;688.0;91;106;101;93;80;107;110
27;Свиридова Елена Юрьевна;619.0;86;110;112;92;72;78;69
28;Феркалюк Василий Юрьевич;256.0;23;26;45;34;45;39;44
29;Шепелёв Георгий Иванович;327.0;40;44;58;53;50;34;48
30;Юшина Наталья Николаевна;758.0;92;116;128;104;89;107;122
