;name;overall;УИК №1632;УИК №1633;УИК №1634;УИК №1635;УИК №1636;УИК №1637;УИК №1638;УИК №1639;УИК №1640;УИК №1641;УИК №1646;УИК №1648
14;Андропов Владимир Юрьевич;385.0;49;37;25;5;39;31;47;30;9;35;48;30
15;Барановский Олег Андреевич;284.0;39;29;33;7;23;22;37;38;9;25;11;11
16;Белкова Инна Анатольевна;1173.0;148;100;92;7;121;142;137;100;23;114;128;61
17;Ванесян Андраник Лазревич;278.0;38;27;18;2;23;27;32;26;5;22;34;24
18;Веселов Сергей Павлович;294.0;43;27;17;8;30;27;34;28;6;27;20;27
19;Волкова Галина Владимировна;209.0;36;23;21;3;25;16;20;15;4;13;16;17
20;Горносько Илья Александрович;232.0;26;20;17;2;23;28;27;25;4;19;21;20
21;Дубровко Михаил Олегович;478.0;60;48;52;16;58;51;51;52;12;47;21;10
22;Исполатов Андрей Борисович;359.0;48;33;24;5;30;45;36;40;6;30;34;28
23;Касенков Алексей Вадимович;211.0;23;26;12;3;18;29;20;18;4;19;21;18
24;Коваленко Алексей Николаевич;1113.0;133;97;100;3;112;116;132;87;19;122;128;64
25;Кувардина Наталья Григорьевна;1223.0;149;102;110;5;119;126;148;98;20;125;142;79
26;Лапин Юрий Александрович;650.0;83;84;58;19;78;60;51;68;19;63;41;26
27;Михальченко Наталья Алексеевна;452.0;52;48;35;7;41;29;57;48;7;38;54;36
28;Морозов Станислав Валерьевич;1089.0;123;101;93;7;116;114;123;91;20;115;122;64
29;Родин Семен Павлович;245.0;34;34;25;1;29;17;14;19;6;26;21;19
30;Суров Евгений Юрьевич;587.0;78;90;52;17;56;55;56;65;14;58;28;18
31;Сурова Елена Борисовна;550.0;76;75;49;18;60;61;48;54;16;55;17;21
32;Уколов Антон Альфредович;1221.0;153;112;123;10;116;128;151;106;25;125;114;58
33;Хлюпин Максим Васильевич;245.0;29;21;14;6;30;18;17;33;10;29;19;19
34;Хохлова Ирина Михайловна;619.0;78;78;74;17;73;63;55;58;16;45;33;29
35;Шихсаидов Шамиль Музакирович;155.0;20;11;33;1;15;6;15;17;2;14;12;9
